Performance tests for graph with 1000 vertices at 100% density.
Iteration 1, Vertices: 1000, Density: 100%, Time: 4.13 ms
Iteration 2, Vertices: 1000, Density: 100%, Time: 3.883 ms
Iteration 3, Vertices: 1000, Density: 100%, Time: 3.856 ms
Iteration 4, Vertices: 1000, Density: 100%, Time: 4.158 ms
Iteration 5, Vertices: 1000, Density: 100%, Time: 3.868 ms
Iteration 6, Vertices: 1000, Density: 100%, Time: 3.871 ms
Iteration 7, Vertices: 1000, Density: 100%, Time: 3.891 ms
Iteration 8, Vertices: 1000, Density: 100%, Time: 3.88 ms
Iteration 9, Vertices: 1000, Density: 100%, Time: 3.952 ms
Iteration 10, Vertices: 1000, Density: 100%, Time: 3.86 ms
Iteration 11, Vertices: 1000, Density: 100%, Time: 3.871 ms
Iteration 12, Vertices: 1000, Density: 100%, Time: 3.878 ms
Iteration 13, Vertices: 1000, Density: 100%, Time: 3.865 ms
Iteration 14, Vertices: 1000, Density: 100%, Time: 3.873 ms
Iteration 15, Vertices: 1000, Density: 100%, Time: 4.02 ms
Iteration 16, Vertices: 1000, Density: 100%, Time: 3.994 ms
Iteration 17, Vertices: 1000, Density: 100%, Time: 3.883 ms
Iteration 18, Vertices: 1000, Density: 100%, Time: 4.138 ms
Iteration 19, Vertices: 1000, Density: 100%, Time: 3.913 ms
Iteration 20, Vertices: 1000, Density: 100%, Time: 3.912 ms
Iteration 21, Vertices: 1000, Density: 100%, Time: 4.145 ms
Iteration 22, Vertices: 1000, Density: 100%, Time: 3.901 ms
Iteration 23, Vertices: 1000, Density: 100%, Time: 3.886 ms
Iteration 24, Vertices: 1000, Density: 100%, Time: 3.883 ms
Iteration 25, Vertices: 1000, Density: 100%, Time: 3.858 ms
Iteration 26, Vertices: 1000, Density: 100%, Time: 3.849 ms
Iteration 27, Vertices: 1000, Density: 100%, Time: 3.868 ms
Iteration 28, Vertices: 1000, Density: 100%, Time: 3.892 ms
Iteration 29, Vertices: 1000, Density: 100%, Time: 4.136 ms
Iteration 30, Vertices: 1000, Density: 100%, Time: 3.862 ms
Iteration 31, Vertices: 1000, Density: 100%, Time: 3.891 ms
Iteration 32, Vertices: 1000, Density: 100%, Time: 3.859 ms
Iteration 33, Vertices: 1000, Density: 100%, Time: 3.883 ms
Iteration 34, Vertices: 1000, Density: 100%, Time: 3.86 ms
Iteration 35, Vertices: 1000, Density: 100%, Time: 3.882 ms
Iteration 36, Vertices: 1000, Density: 100%, Time: 3.864 ms
Iteration 37, Vertices: 1000, Density: 100%, Time: 4.171 ms
Iteration 38, Vertices: 1000, Density: 100%, Time: 3.881 ms
Iteration 39, Vertices: 1000, Density: 100%, Time: 3.892 ms
Iteration 40, Vertices: 1000, Density: 100%, Time: 3.881 ms
Iteration 41, Vertices: 1000, Density: 100%, Time: 3.899 ms
Iteration 42, Vertices: 1000, Density: 100%, Time: 3.883 ms
Iteration 43, Vertices: 1000, Density: 100%, Time: 3.883 ms
Iteration 44, Vertices: 1000, Density: 100%, Time: 3.9 ms
Iteration 45, Vertices: 1000, Density: 100%, Time: 3.888 ms
Iteration 46, Vertices: 1000, Density: 100%, Time: 3.871 ms
Iteration 47, Vertices: 1000, Density: 100%, Time: 3.86 ms
Iteration 48, Vertices: 1000, Density: 100%, Time: 3.876 ms
Iteration 49, Vertices: 1000, Density: 100%, Time: 3.888 ms
Iteration 50, Vertices: 1000, Density: 100%, Time: 3.854 ms
Iteration 51, Vertices: 1000, Density: 100%, Time: 3.883 ms
Iteration 52, Vertices: 1000, Density: 100%, Time: 3.868 ms
Iteration 53, Vertices: 1000, Density: 100%, Time: 3.865 ms
Iteration 54, Vertices: 1000, Density: 100%, Time: 3.869 ms
Iteration 55, Vertices: 1000, Density: 100%, Time: 3.872 ms
Iteration 56, Vertices: 1000, Density: 100%, Time: 3.879 ms
Iteration 57, Vertices: 1000, Density: 100%, Time: 3.905 ms
Iteration 58, Vertices: 1000, Density: 100%, Time: 4.106 ms
Iteration 59, Vertices: 1000, Density: 100%, Time: 3.888 ms
Iteration 60, Vertices: 1000, Density: 100%, Time: 3.89 ms
Iteration 61, Vertices: 1000, Density: 100%, Time: 3.875 ms
Iteration 62, Vertices: 1000, Density: 100%, Time: 3.883 ms
Iteration 63, Vertices: 1000, Density: 100%, Time: 3.881 ms
Iteration 64, Vertices: 1000, Density: 100%, Time: 3.885 ms
Iteration 65, Vertices: 1000, Density: 100%, Time: 3.947 ms
Iteration 66, Vertices: 1000, Density: 100%, Time: 4.16 ms
Iteration 67, Vertices: 1000, Density: 100%, Time: 3.876 ms
Iteration 68, Vertices: 1000, Density: 100%, Time: 3.86 ms
Iteration 69, Vertices: 1000, Density: 100%, Time: 3.876 ms
Iteration 70, Vertices: 1000, Density: 100%, Time: 3.927 ms
Iteration 71, Vertices: 1000, Density: 100%, Time: 3.894 ms
Iteration 72, Vertices: 1000, Density: 100%, Time: 3.905 ms
Iteration 73, Vertices: 1000, Density: 100%, Time: 3.888 ms
Iteration 74, Vertices: 1000, Density: 100%, Time: 3.887 ms
Iteration 75, Vertices: 1000, Density: 100%, Time: 3.881 ms
Iteration 76, Vertices: 1000, Density: 100%, Time: 3.897 ms
Iteration 77, Vertices: 1000, Density: 100%, Time: 3.883 ms
Iteration 78, Vertices: 1000, Density: 100%, Time: 4.045 ms
Iteration 79, Vertices: 1000, Density: 100%, Time: 3.874 ms
